method,cores,time
serial,1,2.428065538406372
mpi,1,2.379461766666888
mpi,2,1.2305788666708395
mpi,4,0.7086478333343015
mpi,6,0.5230845394759276
numba,1,0.8343968391418457
numpy,1,0.06214118003845215
